ID 	 SPEED
------	-------
15 	 32
17 	 36
18 	 45
19 	 45
21 	 43
27 	 33
26 	 27
28 	 28
29 	 32
30 	 41
33 	 39
34 	 45
43 	 44
51 	 34
52 	 30
55 	 37
64 	 36
66 	 36
69 	 32
70 	 50
71 	 44
76 	 74
77 	 45
79 	 68
89 	 48
99 	 41
104 	 42
105 	 42
106 	 46
107 	 42
112 	 47
116 	 101<---exceeded
113 	 45
117 	 35
124 	 38
126 	 45
136 	 39
143 	 44
146 	 38
153 	 52
155 	 43
156 	 45
164 	 55
165 	 55
166 	 55
167 	 55
168 	 52
175 	 47
177 	 49
179 	 33
180 	 40
